Review,Positive,Negative,Neutral,Compound,Sentiment
tablescraperselectedrow,0.0,0.0,1.0,0.0,Neutral
Love it so far Yes very light and soft touch to use,0.418,0.0,0.582,0.8008,Positive
Out of the box the X1 Carbon is an impressive machine  Very light weight and aesthetically pleasing  The keyboard is a pleasure to use and the touchpad is much better than other PCs Ive recently used  The model I have has the standard 1920 x 1080 display which is fine for an ultraportable  Should you desire something comparable to a Mac Retina display I recommend upgrading to the Lenovo hires HDR display  For typical business use  email MS Office web browsing video conferencing etc the Intel 8th Gen i5 processor 256GB SSD and 8GB RAM configuration is fine  The X1 also has a good array of ports including USB Atype USBCThunderbolt and HDMI  After a few days of use battery life is impressive  probably 10 hours with web browsing Office and email usage  The only knock Id give it in terms of hardware is the lid has a lot of flex to it but I suppose this is to be expected since its not aluminum  The other negative is not the fault of the hardware but rather Windows 10  Setup was tedious  After going through multiple rounds of updates taking a couple of hours I had to do a full reset and start over because the Start Menu would not save any changes  I would delete the Windows Games and other bloatware I dont need only to have it reappear  I am not set up on a domain where a Group Policy is doing this so I decided to reset and that solved the problem  I also had to do a BIOS update and some Lenovodictated driver updates  After three days of use all has been good  Within this price range I have recently used a Microsoft Surface Laptop and a new Dell XPS 13 and prefer this Lenovo to either of those,0.094,0.04,0.867,0.8589,Positive
Pc worked well for about 10 months did a software update and network card got messed up by Lenovos own upgrade and they were imposible to reach for support out of 10 different contact people only 1 was courteous motivated to correct issue ended up using a local repair center to solve issue,0.236,0.04,0.724,0.8625,Positive
Very good laptop for everyday work outsidegood battery life absolutely love the matte screenultra portablevery fastbest keyboard ever fingerprint scan is terrible cam speakers the notorious quality check of Lenovo strikes back mine has an issue with the trackpad which is not working on the left side Didnt send it back though could be better looking for that amount of money spent,0.141,0.113,0.746,0.4742,Positive
Excellent piece of laptopLight waight and powerfull with excelent performanceIm glad that I didnt temptate to upgrade to the version with touch screen and higher resolotion since the exsiting capabilities regular screen with FHD are more than enoughIts just despointing that in that price its not supplied with the USBC travel hub VGA Ethernet port,0.114,0.0,0.886,0.7717,Positive
Love the machine It is very light weight has a durable look and feel though the carbon surface catches dirt marks easily The battery life is good The only thing I dont like about IIt is that battery is fixed inside and you cant change it or remove it with unscrewing the back cover I had requested for a Windows 10 pro upgrade which the seller did free of cost,0.166,0.058,0.776,0.8515,Positive
I bought it as a gift and when we start using it it gets dangerously hot 80C using only chrome or basic tasks in the office and if I use any heavier software Im afraid something will happen It is impossible to use the keyboard because the buttons are very hot and this happens using it only for 10 minutes Unfortunately I dont recommend it When I opened it to see if the fan was working its too small and not enough And since I am far from the United States I cant exchange anymore,0.082,0.077,0.841,0.1255,Positive
It is gorgeous Using DHL as a means of shipment is equivalent to that you need no worry about customs affairs which drove me crazy when I attempted to purchase another item in the United States to the United Kingdom Even the price is added with customs VAT and international handling fee and is compared with that of United Kingdom it is still cheap,0.166,0.1,0.734,0.7096,Positive
I purchased this laptop for our CFO of the company to replace his Lenovo W530  He wanted speed but something lighter than his monster W530  This has been a perfect replacement for him in terms of speed screen image quality and weight  No issues with it at all after almost 3 months of use  Always complements that this is the best laptop he has used,0.149,0.039,0.812,0.8765,Positive
This is the best laptop Ive ever had Extremely light weight and powerful Battery life is amazing it lasts all day long I dont even bring my charger to the office with me I just leave it at home Fingerprint reader is great My only complaint is that I need a dongle for Ethernet,0.239,0.055,0.706,0.926,Positive
This laptop is really suitable for collage student The best thing about it is the weight Carrying it is as light and easy as carrying an iPad I really love it though it is quite expensive Btw i5 is good enough and i7 can cost extra money so choose i5 to save money,0.273,0.0,0.727,0.9565,Positive
Great experience delivery on time and product as expected,0.339,0.0,0.661,0.6249,Positive
Think pads are worth the money These are extremely well made the battery lasts a very long time Only issue and I think its a Windows 10 thing when you turn it and put it in a carry bag make sure its OFF before you close the lid,0.139,0.0,0.861,0.6801,Positive
great one but the price dropped too quickly,0.267,0.0,0.733,0.3716,Positive
This machine has the nicest keyboard Ive ever seen on a portable computer  Paired it with a portable external monitor for a pretty amazing setup while Im on the road,0.298,0.0,0.702,0.8807,Positive
The laptop arrived in perfect condition works as fast as advertised Battery life is about 5 hours of heavy use and 24 hours of standby with some music play in background Highly recommended,0.22,0.0,0.78,0.8016,Positive
I bought it last yearand I encountered a series problems during the using Firstlythe wireless didnt work sometimes and it greatly impeded my life and working Secondlythe picture quality is so terrible as to being worse than my Sony laptop bought 7 years ago Thirdlythe touchpad often goes malfunction and I couldnt move the cursor The last but not leastprocessing is not fluent and will be stuck sometimes What a disgusting laptopI seriously doubt that it was REFURNISHED,0.0,0.224,0.776,-0.9501,Negative
I use this laptop for work and it hasnt failed me yet Web development and SEO can easily be done on this laptop,0.203,0.0,0.797,0.6251,Positive
good solid Lap top good performance long bat life replaced a Surface Pro 4 which had short bat life and had bad usb connections,0.31,0.118,0.572,0.5719,Positive
Great ecran resolution super light long battery life great microphone and powerful computer Everything works perfectly since day one,0.577,0.0,0.423,0.9643,Positive
Very good laptop I totally recommended,0.638,0.0,0.362,0.647,Positive
After going through several xps 13 and x1 carbons I sell electronics I replaced my XPS13 9370 8250u laptop with this X1 carbon ultrabook and overall i like this one better  The xps had brighter screen and better color reproduction much nicer design b,0.283,0.0,0.717,0.9153,Positive
Excellent replacement for a computer that had a hard drive die  Lightweight and fast processing,0.195,0.279,0.526,-0.1531,Negative
Thank you great product,0.767,0.0,0.233,0.765,Positive
This is the best ultrabook ever made Incredible looks and performance,0.296,0.0,0.704,0.6369,Positive
My laptop screen blinks continuously when its connected to wifi network I have sent it to Lenovo support twice After the service it works one month perfect after blinking starts I dont know  how to solve my problem,0.191,0.063,0.746,0.6705,Positive
The ports had scratches all over them This is supposed to be new and it looks like it came in used,0.111,0.0,0.889,0.3612,Positive
I purchased this laptop on May 27th It abruptly stopped working on August 29th Apparently the support window ends on August 26th and there is now way to get help with this issue,0.149,0.052,0.799,0.5423,Positive
I bought this laptop brand new less than two months ago and it will not turn on at all Not sure what the problem is but tried multiple power cords and reset button  still no joy This will likely get returned,0.11,0.13,0.761,0.2661,Positive
Fast and light laptop,0.0,0.0,1.0,0.0,Neutral
These laptops are definitely not new Ordered a few for work and two of them crashed within the same hour This is deceiving,0.108,0.096,0.797,0.0772,Positive
Had this Computer for 8 months  Just stopped charging  Complete waste of money,0.0,0.32,0.68,-0.5719,Negative
These are refurbished units which is not listed in the product description,0.0,0.0,1.0,0.0,Neutral
