Review,Positive,Negative,Neutral,Compound,Sentiment
I added this to my daily routine after a bad autoimmune flare from too much sun and my doctor making it clear to me that a broad spectrum sunscreen must be a part of my daily routine  I read the reviews here and saw that some said this left a cast and some said that it cleared after the product was absorbed  I thought to myself even if it did leave a slight cast it would be okay as I am really fair skinned actually I am pretty pale  Just as some background I wear very little makeup usually just a CC Cream for foundationThis product works in providing great sun protection that does not irritate my sensitive skin and does not clog my pores  However the cast does NOT go away for me once it is absorbed so I can only imagine how it is for those with darker skin than mine  I tried using my normal CC cream over it and that just made it an even weirder cast  I am going to try the tinted one but until it arrives I will resemble Casper,0.071,0.026,0.904,0.7151,Positive
I used this on my face and neck in Floridadid not burn when applied in morning and outside all day  Did not have any reaction with my sensitive skin but did have a white sheen,0.0,0.0,1.0,0.0,Neutral
Apparently mineral sunscreen tends to leave a white film on your face this has been my experience  I would NOT use this for professional use since there is a light white film  It seems to work well for poolbeach time and being in and out of the water  I still wear a hat and sunglasses but Im a kayaker and as Im in and out of the bay to practice kayaking skills usually without a hat and glasses it seems to protect well  I love the Cerave daily moisturizer 30 SPF  The daily moisturizer does NOT leave a residue,0.134,0.024,0.842,0.9186,Positive
The sunscreen is good but it leaves a white cast on my face Thats very noticiable,0.122,0.0,0.878,0.2382,Positive
I like the light tint and it seems to be a very good sunscreen  Suggested by my dermatologist  It is a little heavy to wash off at the end of the day But I usually have reapplied sunscreen by then as well  I also use the Sara the moisturizer with number 30 sunscreen which is clear Or just apply a little moisturizer before I use the tinted sunscreen Lots of flexibility depending what Im doing on any day and effective attractive  sunscreen,0.251,0.0,0.749,0.9659,Positive
I use this sunscreen kitesurfing in Mexico It does not wash off and I do not burn Regular sunscreen is removed by the waves and spray Also unlike the chemical sunscreens I do not taste this sunscreen after application I still use both types but if I expect to be on the water a long time this mineral based sunscreen provides the best protection,0.092,0.0,0.908,0.7783,Positive
I have hyperpigmentation on my skin and I wanted something that would protect my face and reduce the red spots I alreday have on my face I bought this product and so far I am seeing a pretty big differnce Slowly but surely I am seeing that my hyperpigmentaion is fading while reducing new acne that shows up I do have to note that the sunscreen casts a pretty pale shade on my face My skin tone is light and evn though I apply small drops of the suncreen my skin turns very whitepurple That is the only downside I have But so far it protects my skin and does the job,0.136,0.022,0.841,0.9169,Positive
Feels thicker but hydrating and protective It leaves a really really white cast,0.0,0.0,1.0,0.0,Neutral
Product is thick and hard to spread Leaves a thick white cast,0.0,0.123,0.877,-0.1027,Negative
A bit too oily,0.0,0.0,1.0,0.0,Neutral
Im a caramel brown black woman with oily skin and I got the suite of cerave products including the SPF 50 to reduce my darkspots Yes it has a white cast almost no matter the amt used However TIP  I mix mine with either concealer or foundation to tint it prior to applying to my face and also another layer of Cerave SPF 30 which does NOT have a white cast and is also not mineral based From there the white cast is not a problem It looks natural in photos and under makeup The most important thing to me is protection to prevent hyperpigmentation and Ive been using about 3 wks This line of products has helped more than anything else so far esp with the dark spots from shaving the little hairs at the corner of my chin  Takeaway I know ppl of color can be wary about sunscreen but make it work for you,0.051,0.017,0.932,0.5078,Positive
Its a pretty good sunscreen it doesnt stink which is a relief but it does leave a heavy white cast It can be reduced by rubbing the sunscreen between your hands for a few seconds and it isnt really an issue for me because Im very pale to begin with but may be for others,0.14,0.024,0.836,0.6629,Positive
This product has some mixed reviews and this one also is mixed Great proven protection from a very well respected company If you use too much it is difficult to spread and gives a whits tone The secret is to apply lightly and rub well into the skin Then reapply a like amount and spread again,0.23,0.039,0.731,0.9055,Positive
This sun screen really works great but the only thing that I didnt like is that is leaves a bad white cast on darker skin tones,0.086,0.238,0.675,-0.6933,Negative
Exactly what I needed for when in the sun especially with my sensitive skin With most sunscreens I breakout but not with this oneLove how light it goes on and lasts so long Great coverage,0.159,0.0,0.841,0.7945,Positive
Holy white cast I applied it on my face first and I was mortified The cast did not dissipate I had to wipe it off This is a very thick and sticky consistency The only time I can wear this is probably at the beach But not for daily under the makeup unless you want to look like Casper the ghost,0.077,0.049,0.874,0.1901,Positive
